age_group,source,position,verb
overall,spacy,1,be
overall,spacy,2,go
overall,spacy,3,do
overall,spacy,4,have
overall,spacy,5,get
overall,spacy,6,think
overall,spacy,7,know
overall,spacy,8,see
overall,spacy,9,want
overall,spacy,10,say
overall,spacy,11,put
overall,spacy,12,like
overall,spacy,13,wanna
overall,spacy,14,look
overall,spacy,15,come
overall,spacy,16,make
overall,spacy,17,play
overall,spacy,18,eat
overall,spacy,19,tell
overall,spacy,20,take
overall,spacy,21,need
overall,spacy,22,happen
overall,spacy,23,find
overall,spacy,24,give
overall,spacy,25,sit
overall,spacy,26,remember
overall,spacy,27,can
overall,spacy,28,try
overall,spacy,29,fall
overall,spacy,30,die
overall,spacy,31,mean
overall,spacy,32,read
overall,spacy,33,hear
overall,spacy,34,help
overall,spacy,35,talk
overall,spacy,36,use
overall,spacy,37,turn
overall,spacy,38,will
overall,spacy,39,show
overall,spacy,40,call
overall,spacy,41,hold
overall,spacy,42,bring
overall,spacy,43,love
overall,spacy,44,open
overall,spacy,45,finish
overall,spacy,46,work
overall,spacy,47,fit
overall,spacy,48,keep
overall,spacy,49,leave
overall,spacy,50,feel
overall,spacy,51,hurt
overall,spacy,52,start
overall,spacy,53,let
overall,spacy,54,buy
overall,spacy,55,draw
overall,spacy,56,ask
overall,spacy,57,run
overall,spacy,58,wear
overall,spacy,59,watch
overall,spacy,60,pick
overall,spacy,61,live
overall,spacy,62,break
overall,spacy,63,move
overall,spacy,64,throw
overall,spacy,65,sing
overall,spacy,66,stay
overall,spacy,67,sleep
overall,spacy,68,walk
overall,spacy,69,stand
overall,spacy,70,sound
overall,spacy,71,drive
overall,spacy,72,cry
overall,spacy,73,needta
overall,spacy,74,pull
overall,spacy,75,build
overall,spacy,76,guess
overall,spacy,77,fix
overall,spacy,78,siapa
overall,spacy,79,drink
overall,spacy,80,wait
overall,spacy,81,ist
overall,spacy,82,write
overall,spacy,83,cut
overall,spacy,84,stick
overall,spacy,85,push
overall,spacy,86,wonder
overall,spacy,87,bet
overall,spacy,88,stop
overall,spacy,89,jump
overall,spacy,90,den
overall,spacy,91,hide
overall,spacy,92,miss
overall,spacy,93,hafta
overall,spacy,94,catch
overall,spacy,95,pretend
overall,spacy,96,wash
overall,spacy,97,fly
overall,spacy,98,lose
overall,spacy,99,drop
overall,spacy,100,would
overall,ud,1,go
overall,ud,2,do
overall,ud,3,be
overall,ud,4,get
overall,ud,5,want
overall,ud,6,have
overall,ud,7,think
overall,ud,8,know
overall,ud,9,say
overall,ud,10,like
overall,ud,11,see
overall,ud,12,put
overall,ud,13,look
overall,ud,14,come
overall,ud,15,make
overall,ud,16,need
overall,ud,17,eat
overall,ud,18,play
overall,ud,19,take
overall,ud,20,tell
overall,ud,21,find
overall,ud,22,give
overall,ud,23,happen
overall,ud,24,sit
overall,ud,25,remember
overall,ud,26,fall
overall,ud,27,mean
overall,ud,28,try
overall,ud,29,can
overall,ud,30,hear
overall,ud,31,use
overall,ud,32,fit
overall,ud,33,read
overall,ud,34,talk
overall,ud,35,help
overall,ud,36,love
overall,ud,37,start
overall,ud,38,will
overall,ud,39,turn
overall,ud,40,show
overall,ud,41,bring
overall,ud,42,work
overall,ud,43,open
overall,ud,44,keep
overall,ud,45,hold
overall,ud,46,call
overall,ud,47,hurt
overall,ud,48,finish
overall,ud,49,buy
overall,ud,50,feel
overall,ud,51,wear
overall,ud,52,run
overall,ud,53,leave
overall,ud,54,stay
overall,ud,55,watch
overall,ud,56,pick
overall,ud,57,move
overall,ud,58,live
overall,ud,59,ask
overall,ud,60,throw
overall,ud,61,break
overall,ud,62,draw
overall,ud,63,walk
overall,ud,64,sing
overall,ud,65,sleep
overall,ud,66,build
overall,ud,67,let
overall,ud,68,guess
overall,ud,69,sound
overall,ud,70,stand
overall,ud,71,drink
overall,ud,72,wonder
